id,glottocode,name,source,latitude,longitude,elevation,macroarea
2992,djap1238,Djapu,er,"-12,879764","136,417978",12,Australia
2977,djin1252,Djinba,er,"-12,93",134967,69,Australia
2976,djin1253,Djinang,er,-12462,"134,82",76,Australia
2744,djiw1241,Jiwarli,er,"-24,10724","116,98858",511,Australia
2943,duun1241,Duungidjawu,er,NA,NA,NA,Australia
2890,dyaa1242,Djabugay,er,-16596,145388,367,Australia
2991,dyan1250,Thanggati,er,"-30,8469",152602,249,Australia
2732,dyir1250,Dyirbal,er,"-17,4516",145544,845,Australia
2703,east2380,Eastern Anmatyerre,er,NA,NA,NA,Australia
2941,gabi1248,Gabi-Gabi,er,NA,NA,NA,Australia
2719,gami1243,Gamilaraay,er,"-29,9037",149543,222,Australia
2788,gana1268,Bidhawal,er,"-37,05","148,93",687,Australia
2789,gana1278,Muk-Thang,er,NA,NA,7,Australia
2798,gang1268,Barada,er,"-22,7637",149416,296,Australia
2713,gida1240,Gidabal,er,NA,NA,NA,Australia
2866,gore1235,Goreng,er,NA,NA,NA,Australia
2818,gudj1237,Gudjal,er,"-19,44157406","144,6482584",656,Australia
2828,guga1239,Kukatj,er,"-17,8372",141168,16,Australia
2819,gugu1253,Gugu Badhun,er,"-18,4921","144,46",613,Australia
2922,gugu1254,Koko Bera,er,"-15,4296",141635,4,Australia
2886,gugu1255,Guugu Yimidhirr,er,"-14,9424",144831,183,Australia
2975,guma1253,Gumatj,er,"-12,25254","136,83042",1,Australia
2997,gund1248,Gundungurra,er,"-33,7","150,3",720,Australia
2814,gung1248,Gungabula,er,"-25,6896",148604,496,Australia
2816,guny1241,Gunya,er,"-27,0642",145862,240,Australia
2972,gupa1247,Gupapuyngu,er,"-12,2868",135337,1,Australia
2905,gurd1238,Kurtjar,er,"-17,1653",141145,6,Australia
2938,gure1255,Gureng-gureng,er,"-25,3893",151175,274,Australia
2853,guri1247,Gurindji,er,"-17,0329",130379,277,Australia
2737,guwa1242,Guwa,er,"-21,35147706","142,5243782",205,Australia
3017,guwa1243,Guwamu,er,"-27,8289",148867,233,Australia
2714,guwa1244,Guwar,er,"-27,16698973","153,3998245",46,Australia
2984,hawk1239,Darkinyung,er,"-33,11470744","150,4952383",392,Australia
2878,ikar1243,Ikarranggal,er,NA,NA,152,Australia
2728,jand1248,Jandai,er,NA,NA,NA,Australia
2854,jaru1254,Jaru,er,"-18,3288",128262,360,Australia
2967,kala1377,Kala Lagaw Ya,er,"-10,6748",142196,152,Australia
2835,kala1379,Galaagu,er,"-31,7154",118911,412,Australia
2767,kala1380,Garlali,er,NA,NA,NA,Australia
2836,kala1401,Kalaamaya,er,NA,NA,505,Australia
2739,kalk1246,Kalkatungu,er,-21,"139,5",413,Australia
2867,kani1276,Kaniyang,er,NA,NA,NA,Australia
879,kara1476,Garadjari,ph,"-18,6771",122334,140,Australia
2751,kara1508,Karangura,er,NA,NA,NA,Australia
2839,kari1304,Kariyarra,er,-20445,118613,27,Australia
2952,kart1247,Kartujarra,er,NA,NA,NA,Australia
2932,kaur1267,Kaurna,er,"-34,34966141","138,4800794",60,Australia
2882,kawa1290_01,Ogh Awarrangg,er,"-16,1","142,5",49,Australia
